	図書館蔵書管理システム
A	アクター
C	アクター群	アクター	説明
B	図書館スタッフ	司書	役割:書籍情報・利用者情報の登録・編集・削除、貸出・返却の記録、予約状況・延滞状況の確認、在庫状況・人気書籍ランキング・期間別貸出統計の確認による選書・運営改善を行う / 社内外:社内 / 立場:提供者 / 主担当業務:蔵書を管理するフロー、延滞者に督促するフロー、蔵書の利用状況を分析するフロー
B	図書館利用者	利用者	役割:書籍の検索、貸出中書籍の予約・予約取消、自分の貸出履歴と予約状況の確認を行い、窓口で利用登録・貸出・返却を受ける。返却通知・リマインド・督促メールを受け取る / 社内外:社外 / 立場:受益者
B	図書館システム	タイマー	役割:日次バッチとしてリマインド対象の抽出・リマインド送信、延滞判定・督促送信を定時起動で自動実行する / 社内外:社内 / 立場:提供者
A	外部システム
C	外部システム群	外部システム	説明
B	通知系	メール配信サービス	返却通知メール、返却期限リマインドメール、督促メールを利用者に配信する
A	情報
C	コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
B	蔵書管理	書籍	書籍ID、タイトル、著者、ISBN、出版社、ジャンル、媒体種別（紙・電子）、書籍の状態（在庫あり・貸出中・予約待ち）、登録日、更新日	ジャンル、貸出、予約、貸出統計	書籍の状態	ジャンル、媒体種別、検索条件種別	蔵書として一元管理する書籍。司書が登録・編集・削除し、利用者・司書がキーワード・タイトル・著者・ISBN・ジャンルで検索する。貸出・返却・予約により書籍の状態が遷移し、在庫状況一覧の表示に用いる。貸出中・予約待ちの書籍は削除できない。媒体種別は初期リリースでは紙のみ運用し、将来の電子書籍対応の拡張起点となる
B	蔵書管理	ジャンル	ジャンルID、ジャンル名（文学・社会科学・自然科学・技術・芸術・歴史・児童書・その他）、説明	書籍	""	ジャンル	書籍を分類する区分。書籍登録時に指定し、検索条件および選書・運営改善の分析単位として用いる
B	利用者管理	利用者	利用者番号、氏名、連絡先（メールアドレス・電話番号・住所）、利用者区分（司書・利用者）、登録日、更新日	貸出、予約、通知	""	利用者区分	図書館を利用する人。司書が登録・編集・削除し、一意の利用者番号で識別する。貸出・予約の主体であり、返却通知・リマインド・督促の送信先となる。利用者区分により操作範囲を切り替え、利用者は自分の貸出履歴・予約状況のみ閲覧できる
B	貸出管理	貸出	貸出ID、書籍ID、利用者番号、貸出日、返却期限、返却日、貸出の状態（貸出中・延滞・返却済み）、記録した司書	書籍、利用者、通知、貸出統計、貸出期間、リマインド日数	貸出の状態	""	利用者に書籍を貸し出した記録。司書が貸出を登録すると貸出中になり、返却期限は貸出日に貸出期間を加算して自動設定する。日次バッチがリマインド日数と返却期限からリマインド対象を判定し、返却期限超過で延滞に遷移させて督促する。返却登録で返却済みになり、貸出履歴の表示と貸出統計の集計の元データとなる
B	貸出管理	貸出期間	貸出期間（日数）、適用開始日、更新日	貸出	""	""	貸出時に返却期限を自動設定するための業務ルール上の期間設定。返却期限=貸出日+貸出期間として返却期限算出に用いる
B	貸出管理	リマインド日数	リマインド日数（返却期限の何日前か）、適用開始日、更新日	貸出	""	""	返却期限の何日前からリマインドメールを送るかを定める設定値。日次バッチのリマインド対象判定に用いる
B	予約管理	予約	予約ID、書籍ID、利用者番号、受付日時、予約順位、予約の状態（予約中・通知済み・取消）、取消日時	書籍、利用者、通知	予約の状態	""	貸出中の書籍に対する利用者の予約記録。在庫ありの書籍には予約できない。受付順に順位を付与し、取消時は後続の順位を繰り上げる。返却時に予約順位1位の利用者を返却通知の送信先として特定し、通知済みに遷移させる。司書は予約一覧で書籍ごとの予約順位と状態を確認する
B	通知管理	通知	通知ID、利用者番号、通知種別（返却通知・リマインド・督促）、送信先メールアドレス、件名、本文、送信日時、送信結果、対象貸出ID、対象予約ID	利用者、貸出、予約	""	通知種別	利用者に送信した返却通知・リマインド・督促のメール記録。返却登録・リマインド対象抽出・延滞判定を契機にメール配信サービス経由で送信し、送信内容・送信日時・送信結果を保持する。通知の重複や漏れを防ぎ、司書が延滞一覧で督促の送信状況を確認するために用いる
B	運営分析管理	貸出統計	集計ID、集計期間種別（日・月・年）、集計対象期間（開始日・終了日）、書籍ID、貸出回数、貸出件数、ランキング順位、集計日時	貸出、書籍	""	集計期間種別	貸出記録を集計した情報。書籍ごとの貸出回数による人気書籍ランキングと、集計期間種別ごとの貸出件数を保持し、司書が選書や運営改善の判断材料として用いる
A	状態
C	コンテキスト	状態モデル	状態	遷移UC	遷移先状態	状態モデル・状態の説明
B	蔵書管理	書籍の状態	""	書籍を登録する	在庫あり	司書が書籍情報を登録すると、書籍は貸出可能な在庫ありとして蔵書に加わる。貸出・予約の可否判断と在庫状況一覧の表示に使うため書籍ごとに状態を管理する
B	蔵書管理	書籍の状態	在庫あり	貸出を登録する	貸出中	司書が利用者と書籍を指定して貸出を記録すると貸出中になる。貸出中の書籍は別の利用者に貸し出せない
B	蔵書管理	書籍の状態	貸出中	返却を登録する	在庫あり	司書が返却を記録し、予約がない場合は在庫ありに戻る
B	蔵書管理	書籍の状態	貸出中	返却を登録する	予約待ち	司書が返却を記録し、予約がある場合は予約待ちになり、予約順1位の利用者にメールで返却を通知する
B	蔵書管理	書籍の状態	予約待ち	貸出を登録する	貸出中	予約順1位の利用者に司書が貸出を記録すると貸出中になる
B	蔵書管理	書籍の状態	予約待ち	予約を取り消す	在庫あり	予約がすべて取り消され、待っている利用者がいなくなると在庫ありに戻る
B	蔵書管理	書籍の状態	在庫あり	書籍を削除する	""	司書が書籍情報を削除すると蔵書から除外される。貸出中・予約待ちの書籍は削除しない
B	貸出管理	貸出の状態	""	貸出を登録する	貸出中	司書が貸出を記録すると貸出記録が作成され、貸出日に貸出期間を加算した返却期限が自動設定されて貸出中になる。返却期限に対する進捗を貸出ごとに管理し、リマインド・督促の対象判定と貸出履歴の表示に使う
B	貸出管理	貸出の状態	貸出中	延滞を判定する	延滞	日次バッチで返却期限を超過した未返却の貸出を抽出し、延滞にする。延滞と判定した貸出は督促メールの送信対象になる
B	貸出管理	貸出の状態	貸出中	返却を登録する	返却済み	返却期限内に司書が返却を記録すると返却済みになる
B	貸出管理	貸出の状態	延滞	返却を登録する	返却済み	延滞中の書籍について司書が返却を記録すると返却済みになる
B	貸出管理	貸出の状態	返却済み	""	""	返却済みの貸出記録は貸出履歴と貸出統計の元データとして保持され、状態は変化しない
B	予約管理	予約の状態	""	予約を登録する	予約中	利用者が貸出中の書籍に予約を登録すると、受付順の予約順位つきで予約中になる。返却時の通知先の特定と予約状況の表示に使うため予約ごとに状態を管理する
B	予約管理	予約の状態	予約中	返却通知を送信する	通知済み	予約順1位の予約に対し、書籍の返却時にメールで返却を通知すると通知済みになる
B	予約管理	予約の状態	予約中	予約を取り消す	取消	利用者が予約を取り消すと取消になり、後続の予約順位が繰り上がる
B	予約管理	予約の状態	通知済み	予約を取り消す	取消	返却通知を受けた利用者が予約を取り消すと取消になり、次の予約順位の利用者に通知する
B	予約管理	予約の状態	通知済み	貸出を登録する	""	通知を受けた利用者に司書が貸出を記録すると予約は完了して終了する
B	予約管理	予約の状態	取消	""	""	取り消された予約は順位の管理対象から外れて終了する
A	条件
C	コンテキスト	条件	条件の説明	バリエーション	状態モデル
B	貸出管理	貸出可否判定	書籍の状態が「在庫あり」であり、かつ貸出先が登録済みの利用者である場合に貸出可能とする。書籍が「貸出中」または「予約待ち」の場合は貸出できない。予約待ちの書籍は予約順位1位の利用者に限り貸出可能とする		書籍の状態
B	予約管理	予約可否判定	書籍の状態が「貸出中」または「予約待ち」の場合のみ予約を受け付ける。書籍が「在庫あり」の場合は予約できない		書籍の状態
B	貸出管理	返却期限算出	貸出日にビジネスパラメータ「貸出期間」を加算した日付を返却期限とする		
B	貸出管理	返却後の書籍状態判定	返却された書籍に予約中の予約が1件以上ある場合は書籍の状態を「予約待ち」、予約がない場合は「在庫あり」に遷移させる。貸出の状態は「貸出中」「延滞」のいずれからも「返却済み」に遷移させる		書籍の状態、予約の状態、貸出の状態
B	通知管理	返却通知対象判定	返却された書籍に予約中の予約がある場合、予約順位1位の利用者を通知種別「返却通知」の送信先とし、予約の状態を「予約中」から「通知済み」に遷移させる。予約がない場合は送信しない	通知種別	予約の状態
B	予約管理	予約順位決定	予約は受付日時の早い順に順位を付与し、予約が取り消された場合は後続の予約中・通知済みの予約の順位を繰り上げる。取消・終了した予約は順位の管理対象から外す		予約の状態
B	貸出管理	リマインド対象判定	貸出の状態が「貸出中」で未返却、かつ返却期限までの残日数がビジネスパラメータ「リマインド日数」以内の貸出を通知種別「リマインド」の送信対象とする	通知種別	貸出の状態
B	貸出管理	延滞判定	貸出の状態が「貸出中」で未返却、かつ当日の日付が返却期限を超過している貸出を延滞とし、貸出の状態を「延滞」に遷移させて通知種別「督促」の送信対象とする	通知種別	貸出の状態
B	利用者管理	利用状況閲覧範囲判定	利用者区分が「利用者」の場合は自分の利用者番号に紐づく貸出履歴と予約状況のみ閲覧できる。他の利用者の情報は閲覧できない。利用者区分が「司書」の場合は利用者番号を指定して任意の利用者の利用状況を閲覧できる	利用者区分	
B	蔵書管理	書籍検索条件判定	検索語の前後空白を除去しUnicode NFKCで正規化する。キーワードはタイトルまたは著者の部分一致、タイトルと著者指定は当該属性の部分一致。ISBNは空白とハイフンを除去して完全一致。ジャンルはIDの完全一致。複数選択の同種条件はOR、検索語とジャンルと状態の間はANDで結合する。検索語とフィルターがすべて空なら全蔵書を対象とする。	検索条件種別、ジャンル	
B	蔵書管理	在庫状況判定	書籍の状態（在庫あり・貸出中・予約待ち）をもとに各書籍の在庫状況を表示する		書籍の状態
B	運営分析管理	人気書籍ランキング判定	指定期間の貸出記録の貸出回数を書籍ごとに集計し、貸出回数の多い順に順位を付与する。同じ貸出回数は同順位とし、次順位は先行書籍数+1とする。表示順は貸出回数降順、同数は書籍ID昇順。		
B	運営分析管理	集計期間判定	集計期間種別（日・月・年）と指定された期間に基づき、貸出日が期間内に含まれる貸出記録を集計対象とする	集計期間種別	
B	蔵書管理	媒体種別判定	書籍の媒体種別（紙・電子）を判定し、初期リリースでは紙の書籍のみを貸出・予約の対象とする。電子の書籍は登録のみ可能とし貸出・予約は受け付けない	媒体種別	
B	利用者管理	利用者削除可否判定	対象利用者に貸出中または延滞の貸出、予約中または通知済みの予約が1件でもあれば削除を拒否し、先に返却または予約取消を求める。どちらもなければ通常の利用者一覧から除外する。返却済み貸出と取消または終了予約の履歴は維持する。		貸出の状態、予約の状態
A	バリエーション
C	コンテキスト	バリエーション	値	説明
B	利用者管理	利用者区分	司書、利用者	システムを操作する人の役割を区別し、蔵書・利用者の管理操作（司書）と検索・予約・利用状況確認（利用者）のように行える操作の範囲を切り替えるために用いる。利用者情報の属性として保持する
B	蔵書管理	ジャンル	文学、社会科学、自然科学、技術、芸術、歴史、児童書、その他	書籍を分類する区分。書籍登録時に付与し、検索条件や選書・運営改善の分析単位として用いる
B	蔵書管理	検索条件種別	キーワード、タイトル、著者、ISBN、ジャンル	利用者や司書が書籍を探すときにどの項目を条件に検索するかを区別し、書籍検索の検索処理の切り替えに用いる
B	蔵書管理	媒体種別	紙、電子	書籍が紙の書籍か電子書籍かを区別する。初期リリースは紙のみ運用とし、将来の電子書籍対応時に貸出・返却・予約などの既存機能を拡張する起点として用いる
B	通知管理	通知種別	返却通知、リマインド、督促	利用者へ送るメールの目的を区別し、送信契機（返却登録・期限接近・期限超過）と送信内容の切り替えに用いる。通知記録の属性として保持し、延滞一覧での督促送信状況の確認にも用いる
B	運営分析管理	集計期間種別	日、月、年	貸出統計を集計する期間の単位を区別し、期間別貸出統計の集計粒度の切り替えに用いる
A	BUC
C	業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明
B	期限管理業務	返却期限を通知するフロー		リマインドメールを送信する		リマインドを送信する	イベント	返却期限リマインドメール配信	外部システム	メール配信サービス	
B	期限管理業務	返却期限を通知するフロー		リマインドを受け取り返却の準備をする							利用者がリマインドメールを受け取り、返却期限までに書籍を返却する準備をする（システムを使わない作業）
B	期限管理業務	延滞者に督促するフロー		日次で延滞を判定する		延滞を判定する	情報	貸出			日次バッチが返却期限を超過して未返却の貸出を抽出し、貸出の状態を貸出中から延滞に遷移させる
B	期限管理業務	延滞者に督促するフロー		日次で延滞を判定する		延滞を判定する	情報	利用者			
B	期限管理業務	延滞者に督促するフロー		日次で延滞を判定する		延滞を判定する	条件	延滞判定			
B	期限管理業務	延滞者に督促するフロー		日次で延滞を判定する		延滞を判定する	タイマー	日次延滞判定バッチ	アクター	タイマー	
B	期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	情報	貸出			延滞と判定した貸出の利用者にメール配信サービス経由で督促メールを自動送信し、通知を記録する
B	期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	情報	利用者			
B	期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	情報	通知			
B	期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	情報	書籍			
B	期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	条件	延滞判定			
B	期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	タイマー	日次督促送信バッチ	アクター	タイマー	
B	期限管理業務	延滞者に督促するフロー		督促メールを送信する		督促を送信する	イベント	延滞督促メール配信	外部システム	メール配信サービス	
B	期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	情報	貸出			司書が延滞中の貸出と督促の送信状況を一覧で確認し、手作業の期限管理・督促なしに延滞の状況を把握する
B	期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	情報	利用者			
B	期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	情報	書籍			
B	期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	情報	通知			
B	期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	条件	延滞判定			
B	期限管理業務	延滞者に督促するフロー		延滞状況を確認する		延滞一覧を参照する	画面	延滞・督促状況画面	アクター	司書	
B	利用者サービス業務	自分の利用状況を確認するフロー		現在の貸出と貸出履歴を確認する		貸出履歴を参照する	情報	貸出			利用者がWeb画面で自分の現在の貸出（返却期限つき）と過去の貸出履歴を一覧で確認する。自分の情報のみ閲覧できる
B	利用者サービス業務	自分の利用状況を確認するフロー		現在の貸出と貸出履歴を確認する		貸出履歴を参照する	情報	書籍			
B	利用者サービス業務	自分の利用状況を確認するフロー		現在の貸出と貸出履歴を確認する		貸出履歴を参照する	情報	利用者			
B	利用者サービス業務	自分の利用状況を確認するフロー		現在の貸出と貸出履歴を確認する		貸出履歴を参照する	条件	利用状況閲覧範囲判定			
B	利用者サービス業務	自分の利用状況を確認するフロー		現在の貸出と貸出履歴を確認する		貸出履歴を参照する	画面	マイ貸出履歴画面	アクター	利用者	
B	利用者サービス業務	自分の利用状況を確認するフロー		予約状況を確認する		予約状況を参照する	情報	予約			利用者がWeb画面で自分の予約中の書籍と予約順位、予約の状態を一覧で確認する。自分の情報のみ閲覧できる
B	利用者サービス業務	自分の利用状況を確認するフロー		予約状況を確認する		予約状況を参照する	情報	書籍			
B	利用者サービス業務	自分の利用状況を確認するフロー		予約状況を確認する		予約状況を参照する	情報	利用者			
B	利用者サービス業務	自分の利用状況を確認するフロー		予約状況を確認する		予約状況を参照する	条件	利用状況閲覧範囲判定			
B	利用者サービス業務	自分の利用状況を確認するフロー		予約状況を確認する		予約状況を参照する	画面	マイ予約状況画面	アクター	利用者	
B	利用者サービス業務	自分の利用状況を確認するフロー		利用者からの問い合わせに対応する		利用者の利用状況を参照する	情報	利用者			司書が窓口で利用者番号を指定して該当利用者の貸出と予約の状況を確認し、Web画面を使えない利用者に案内する
B	利用者サービス業務	自分の利用状況を確認するフロー		利用者からの問い合わせに対応する		利用者の利用状況を参照する	情報	貸出			
B	利用者サービス業務	自分の利用状況を確認するフロー		利用者からの問い合わせに対応する		利用者の利用状況を参照する	情報	予約			
B	利用者サービス業務	自分の利用状況を確認するフロー		利用者からの問い合わせに対応する		利用者の利用状況を参照する	情報	書籍			
B	利用者サービス業務	自分の利用状況を確認するフロー		利用者からの問い合わせに対応する		利用者の利用状況を参照する	画面	窓口利用状況照会画面	アクター	司書	
B	運営分析業務	蔵書の利用状況を分析するフロー		在庫状況を把握する		在庫状況一覧を参照する	情報	書籍			司書が書籍ごとの状態（貸出中・在庫あり・予約待ち）を一覧で確認する
B	運営分析業務	蔵書の利用状況を分析するフロー		在庫状況を把握する		在庫状況一覧を参照する	情報	ジャンル			
B	運営分析業務	蔵書の利用状況を分析するフロー		在庫状況を把握する		在庫状況一覧を参照する	条件	在庫状況判定			
B	運営分析業務	蔵書の利用状況を分析するフロー		在庫状況を把握する		在庫状況一覧を参照する	画面	在庫状況一覧画面	アクター	司書	
B	運営分析業務	蔵書の利用状況を分析するフロー		人気書籍を把握する		人気書籍ランキングを参照する	情報	貸出統計			司書が貸出記録に基づく貸出回数の多い順の書籍ランキングを確認する
B	運営分析業務	蔵書の利用状況を分析するフロー		人気書籍を把握する		人気書籍ランキングを参照する	情報	貸出			
B	運営分析業務	蔵書の利用状況を分析するフロー		人気書籍を把握する		人気書籍ランキングを参照する	情報	書籍			
B	運営分析業務	蔵書の利用状況を分析するフロー		人気書籍を把握する		人気書籍ランキングを参照する	条件	人気書籍ランキング判定			
B	運営分析業務	蔵書の利用状況を分析するフロー		人気書籍を把握する		人気書籍ランキングを参照する	画面	人気書籍ランキング画面	アクター	司書	
B	運営分析業務	蔵書の利用状況を分析するフロー		期間別の貸出傾向を把握する		期間別貸出統計を参照する	情報	貸出統計			司書が期間（日・月・年）を指定して期間内の貸出件数の集計を確認する
B	運営分析業務	蔵書の利用状況を分析するフロー		期間別の貸出傾向を把握する		期間別貸出統計を参照する	情報	貸出			
B	運営分析業務	蔵書の利用状況を分析するフロー		期間別の貸出傾向を把握する		期間別貸出統計を参照する	情報	書籍			
B	運営分析業務	蔵書の利用状況を分析するフロー		期間別の貸出傾向を把握する		期間別貸出統計を参照する	条件	集計期間判定			
B	運営分析業務	蔵書の利用状況を分析するフロー		期間別の貸出傾向を把握する		期間別貸出統計を参照する	画面	期間別貸出統計画面	アクター	司書	
B	運営分析業務	蔵書の利用状況を分析するフロー		分析結果を選書・運営改善に活かす							司書が在庫状況・ランキング・貸出統計をもとに選書や運営改善の判断を行う（システムを使わない作業）
B	利用者管理業務	利用者を管理するフロー		利用者情報を削除する		利用者を削除する	条件	利用者削除可否判定			
